Category,Accuracy,Precision,Recall,F1 Score,AUC
flag,0.946,0.696969696969697,0.8679245283018868,0.7731092436974791,0.9115908994976996
obscene,0.94,0.5454545454545454,0.1935483870967742,0.2857142857142857,0.5914437031432698
hate,0.988,0.4444444444444444,0.8,0.5714285714285714,0.894949494949495
threat,0.988,0.0,0.0,0,0.498989898989899
